team_id,team_name,team_record,points_scored,points_allowed
ATL,Atlanta Hawks,17-24,4531,4586
BKN,Boston Celtics,21-22,4625,4554
BOS,Brooklyn Nets,26-15,4573,4477
CHA,Charlotte Hornets,23-20,4941,4966
CHI,Chicago Bulls,27-13,4445,4343
CLE,Cleveland Cavaliers,25-18,4621,4403
DAL,Dallas Mavericks,23-19,4428,4326
DEN,Denver Nuggets,21-19,4257,4228
DET,Detroit Pistons,10-31,4152,4539
GSW,Golden State Warriors,31-11,4627,4266
HOU,Houston Rockets,12-32,4755,5138
IND,Indiana Pacers,15-28,4616,4654
LAC,Los Angeles Clippers,21-22,4487,4535
LAL,Los Angeles Lakers,21-21,4708,4738
MEM,Memphis Grizzlies,30-15,5024,4858
MIA,Miami Heat,27-15,4576,4376
MIL,Milwaukee Bucks,27-17,4926,4745
MIN,Minnesota Timberwolves,20-22,4617,4592
NOP,New Orleans Pelicans,16-26,4447,4620
NYK,New York Knicks,21-21,4380,4391
OKC,Oklahoma City Thunder,14-27,4131,4416
ORL,Orlando Magic,8-35,4390,4768
PHI,Philadelphia 76ers,24-17,4401,4326
PHX,Phoenix Suns,32-9,4583,4284
POR,Portland Trail Blazers,16-25,4459,4640
SAC,Sacramento Kings,18-27,4935,5113
SAS,San Antonio Spurs,15-27,4653,4678
TOR,Toronto Raptors,20-19,4184,4148
UTA,Utah Jazz,28-14,4835,4519
WAS,Washington Wizards,22-20,4527,4607
